ID,Numar post de transformare,Nume,Descrierea BDI,Proprietar,Detaliere Proprietar,Locatia 1,Sucursala,Locatia CE,Numar,PA/PT,Descriere loc functional Retele JT,Descriere obiect tehnic LES JT,Descriere obiect tehnic LEA JT,Tipul constructiv al PT*,Descriere loc functional,Grup planificatori pentru serviciu clienti si intr unit log,Post de lucru,Post de lucru principal pentru sarcini intret,Sectie unitate logistica,Unitate logistica de planificare a întretinerii,Unitate logistica de întretinere,Unitati logistice asociate cu post lucru principal
10348,6,TOPITORIE,PTZ 0006 TOPITORIE,DEER,NU E DESFIINTAT,LEA 20 KV TOPITORIE,Buzau,LEA 20 KV TOPITORIE CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTZ 0006 TOPITORIE,LES JT PTZ 0006 TOPITORIE BUZAU,,PTZ - Zidit,PTZ 0006 TOPITORIE,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5535,6,RACOVITENI,PTA 0006 RACOVITENI,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,59,PT,RET JT PTA 0006 RACOVITENI,,LEA JT PTA 0006 RACOVITENI,PTA - Aerian,PTA 0006 RACOVITENI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5538,6,ROBEASCA_2,PTA 0006 ROBEASCA_2,DEER,,LEA 20 KV SCURTESTI,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,53,PT,RET JT PTA 0006 ROBEASCA_2,LES JT PTA 0006 ROBEASCA,LEA JT PTA 0006 ROBEASCA,PTA - Aerian,PTA 0006 ROBEASCA_2,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8056,6,GRECEANCA DE SUS,PTA 0006 GRECEANCA DE SUS,DEER,,LEA 20 KV PIETROASELE,Buzau,LEA 20 KV PIETROASELE CE MT JT BUZAU+BUZAU SUD,48,PT,RET JT PTA 0006 GRECEANCA DE SUS,,LEA JT PTA 0006 GRECEANCA DE SUS,PTA - Aerian,PTA 0006 GRECEANCA DE SUS,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10198,6,1 MAI BUZAU,PTZ 0006 1 MAI BUZAU,DEER,PT 0006 -1 Mai,LES 6 KV PA 32 CHIRISTIGII,Buzau,LES 6 KV PA 32 CHIRISTIGII CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTZ 0006 1 MAI BUZAU,,LEA JT PTZ 0006 1 MAI BUZAU,PTZ - Zidit,PTZ 0006 1 MAI BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5518,6,STR AMURGULUI,PTZ 0006 STR AMURGULUI,DEER,,LES 6 KV GARA,Buzau,LES 6 KV GARA CE MT JT RM.SARAT,3,PT,RET JT PTZ 0006 STR AMURGULUI,LES JT PTZ 0006 AMURGULUI RM SARAT,LEA JT PTZ 0006 AMURGULUI RM SARAT,PTZ - Zidit,PTZ 0006 STR AMURGULUI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10362,7,LICEU M EMINESCU BUZAU,PTZ 0007 LICEU M EMINESCU BUZAU,DEER,,LES 6 KV PA 34 BALCESCU,Buzau,LES 6 KV PA 34 BALCESCU CE MT JT BUZAU+BUZAU SUD,45,PT,RET JT PTZ 0007 LICEU M EMINESCU BUZA,LES JT PTZ 0007 LICEUL EMINESCU BUZA,LEA JT PTZ 0007 LICEUL EMINESCU BUZA,PTZ - Zidit,PTZ 0007 LICEU M EMINESCU BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
19481,7,CEF,PA CEF,DEER,1,LEA 20 KV MONTEORU,Buzau,LEA 20 KV MONTEORU CE MT JT BUZAU+BUZAU SUD,7,PA,RET JT PA CEF,,,,PA CEF,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5764,7,CAP ROBEASCA = CASAT,PTA 0007 CAP ROBEASCA = CASAT,DEER,,LEA 20 KV SILOZ = DEFECTA,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,9999,PT,RET JT PTA 0007 CAP ROBEASCA = CASAT,LES JT PTA 0007 CAP ROBEASCA,LEA JT PTA 0007 CAP ROBEASCA,PTA - Aerian,PTA 0007 CAP ROBEASCA = CASAT,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
8087,7,GRECEANCA DE JOS,PTA 0007 GRECEANCA DE JOS,DEER,,LEA 20 KV PIETROASELE,Buzau,LEA 20 KV PIETROASELE CE MT JT BUZAU+BUZAU SUD,43,PT,RET JT PTA 0007 GRECEANCA DE JOS,,LEA JT PTA 0007 GRECEANCA DE JOS,PTA - Aerian,PTA 0007 GRECEANCA DE JOS,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
19291,7,PC 0006 CEF 6 HORECO,PA PC 0006 CEF 6 HORECO,Terti,,LEA 20 KV SMEENI,Buzau,LEA 20 KV SMEENI CE MT JT BUZAU+BUZAU SUD,1,PA,RET JT PA PC 0006 CEF 6 HORECO,,,,PA PC 0006 CEF 6 HORECO,CE MT JT Buzau+Buzau Sud,Formatia SO  Buzau 2,Formatia SO  Buzau 2,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5762,7,BUDREA,PTA 0007 BUDREA,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,56,PT,RET JT PTA 0007 BUDREA,,LEA JT PTA 0007 BUDREA,PTA - Aerian,PTA 0007 BUDREA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
